google.com,443,*.google.com,Valid,53,TLS 1.3,2025-12-15 08:40:35 UTC
facebook.com,443,*.facebook.com,Alert,8,TLS 1.3,2025-10-30 23:59:59 UTC
instagram.com,443,*.instagram.com,Alert,8,TLS 1.3,2025-10-30 23:59:59 UTC
cloudflare.com,443,26d54cff.sni.cloudflaressl.com,Valid,48,TLS 1.3,2025-12-09 19:11:41 UTC
stripe.com,443,stripe.com,Valid,85,TLS 1.3,2026-01-15 23:59:59 UTC
microsoft.com,443,microsoft.com,Valid,158,TLS 1.3,2026-03-30 05:17:14 UTC
amazon.com,443,amazon.co.uk,Valid,240,TLS 1.3,2026-06-19 23:59:59 UTC
expired.badssl.com,443,*.badssl.com,Expired,-3846,TLS 1.2,2015-04-12 23:59:59 UTC
youtube.com,443,*.google.com,Valid,53,TLS 1.3,2025-12-15 08:40:35 UTC
stackoverflow.com,443,stackoverflow.com,Valid,84,TLS 1.3,2026-01-15 15:47:50 UTC
www.wayfair.com,443,s.wayfair.com,Valid,53,TLS 1.3,2025-12-15 12:37:31 UTC
